D194	CUCCARO MONFERRATO
D277	DERNICE
D447	FABBRICA CURONE
D528	FELIZZANO
D559	FRACONALTO
D770	FRASCARO
D777	FRASSINELLO MONFERRATO
D780	FRASSINETO PO
D813	FRUGAROLO
D814	FUBINE
D890	GAMALERO
D910	GARBAGNA
D944	GAVI
E015	GIAROLE
E164	GREMIASCO
E191	GRONDONA
E360	ISOLA SANT`ANTONIO
E543	LERMA
E712	LU
E870	MALVICINO
F096	MELAZZO
F232	MIRABELLO MONFERRATO
F281	MOLARE
F293	MOLINO DEI TORTI
F320	MOMPERONE
F365	MONGIARDINO LIGURE
F374	MONLEALE
F387	MONTACUTO
F455	MONTECASTELLO
F469	MONTECHIARO D`ACQUI
F562	MONTEMARZINO
F713	MORBELLO
F737	MORNESE
F965	NOVI LIGURE
F995	OCCIMIANO
F997	ODALENGO GRANDE
G197	OVADA
G199	OVIGLIO
G334	PARETO
G619	Pietra Marazzi
G695	PIOVERA
G807	POMARO MONFERRATO
G839	PONTECURONE
G877	PONZONE
G960	POZZOL GROPPO
G961	Pozzolo Formigaro
H021	PREDOSA
H104	QUARGNENTO
H343	RIVARONE
H406	ROCCAFORTE LIGURE
H414	ROCCA GRIMALDA
H465	ROCCHETTA LIGURE
H694	SALE
I144	SAN SALVATORE MONFERRATO
I150	SAN SEBASTIANO CURONE
I657	SERRAVALLE SCRIVIA
I711	SEZZADIO
I901	SPIGNO MONFERRATO
I941	STAZZANO
L027	TAGLIOLO MONFERRATO
L059	TASSAROLO
L165	TICINETO
L304	TORTONA
