A733	BEE
A742	BELGIRATE
A834	BEURA-CARDEZZA
A925	BOGNANCO
B207	BROVELLO-CARPUGNINO
B380	CALASCA-CASTIGLIONE
B610	CANNERO RIVIERA
B615	CANNOBIO
B876	CASALE CORTE CERRO
C367	CAVAGLIO-SPOCCIA
C478	CEPPO MORELLI
C567	CESARA
D134	CRAVEGGIA
D168	CREVOLADOSSOLA
D177	CRODO
D225	CURSOLO-ORASSO
D332	Domodossola
D374	DRUOGNO
D481	FALMENTA
D706	FORMAZZA
E003	GHIFFA
E028	GIGNESE
E153	GRAVELLONA TOCE
E269	GURRO
E685	LOREGLIA
E790	MACUGNAGA
E795	MADONNA DEL SASSO
E853	MALESCO
F010	MASERA
F048	MASSIOLA
F146	MERGOZZO
F483	MONTECRESTESE
F639	MONTESCHENO
G007	OGGEBBIO
G062	OMEGNA
G117	ORNAVASSO
G280	PALLANZENO
G600	PIEDIMULERA
G658	PIEVE VERGONTE
H030	PREMENO
H033	PREMIA
H037	PREMOSELLO-CHIOVENDA
H106	QUARNA SOPRA
H107	QUARNA SOTTO
H203	RE
H777	SAN BERNARDINO VERBANO
I249	SANTA MARIA MAGGIORE
I619	SEPPIANA
I976	STRESA
L187	TOCENO
L333	TRAREGO VIGGIONA
L336	TRASQUERA
L450	TRONTANO
L651	VALSTRONA
L666	VANZONE CON SAN CARLO
L691	VARZO
L746	VERBANIA
L864	VIGANELLA
L889	VIGNONE
L906	VILLADOSSOLA
M042	VILLETTE
M111	VOGOGNA
N305	DOMODOSSOLA
N306	DOMODOSSOLA - MONTE OSSOLANO
